1,fish,meat,vegetables,Fantasy,Adventure,Science,30,yes,TRUE,1
2,cheese,breads,rice,Trilogy,History,Poetry,17,yes,FALSE,0
3,milk,rice,eggs,Drama,Trilogy,History,21,yes,FALSE,1
4,milk,cereals,breads,Fantasy,Art,Travel,92,no,TRUE,0
5,breads,meat,fish,Mystery,Horror,Science,121,no,FALSE,1
6,cheese,milk,fruit,Science,Fantasy,History,58,no,TRUE,1
7,cereals,cheese,pasta,Trilogy,Romance,Horror,67,yes,FALSE,0
8,vegetables,milk,meat,Horror,Drama,Art,110,yes,TRUE,1
9,fish,cereals,milk,History,Art,Science,110,no,FALSE,0
10,vegetables,eggs,yoghurt,Adventure,Drama,Fantasy,100,yes,TRUE,0
